age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
44,M,476,En Couple,0,false,3176 TS 67
20,M,422,En Couple,2,false,3721 QS 49
49,F,221,Célibataire,0,false,9099 UV 26
57,M,246,Célibataire,0,false,3563 LA 55
58,M,1149,Célibataire,0,false,6963 AX 34
36,M,228,En Couple,4,false,5592 HQ 89
27,M,587,Célibataire,0,false,674 CE 26
82,F,404,Célibataire,0,false,1756 PR 31
53,M,530,Célibataire,0,false,6705 GX 50
73,M,547,En Couple,2,false,4487 DR 75
59,F,473,En Couple,1,false,7080 NW 34
46,M,1223,Célibataire,0,false,9626 HF 36
36,M,242,En Couple,4,false,2401 PA 98
19,M,402,En Couple,2,false,826 YF 89
58,M,215,En Couple,3,true,8216 GR 23
34,M,1326,Seule,3,false,8076 YM 23
24,F,564,En Couple,4,false,9277 JN 49
23,M,1362,Célibataire,0,false,4231 HC 31
50,M,539,Marié(e),1,false,2319 IQ 28
28,M,528,En Couple,4,false,148 RS 75
25,M,226,En Couple,2,false,6786 JV 36
50,M,425,Célibataire,0,false,8049 KN 17
33,F,246,Célibataire,0,false,9610 BR 52
19,M,483,Célibataire,0,false,8745 KJ 12
56,F,513,En Couple,0,false,5805 YN 37
45,M,1199,En Couple,2,false,7341 QB 17
53,M,1256,Célibataire,0,false,9925 TY 41
82,M,947,Célibataire,0,false,6238 TQ 16
20,Homme,478,En Couple,3,true,4395 AS 40
19,M,406,Célibataire,0,false,1295 WZ 85
46,M,1348,Célibataire,0,false,3228 PI 22
31,F,441,En Couple,3,false,3367 NG 10
56,M,1258,Célibataire,0,false,5784 HC 14
38,M,429,Célibataire,0,false,6685 TE 75
18,F,411,En Couple,0,false,6461 RY 26
39,F,429,En Couple,2,false,1498 MN 80
56,F,1042,En Couple,3,false,4400 IT 29
26,F,422,En Couple,2,false,9066 UX 89
31,M,963,En Couple,2,false,9075 QO 83
80,M,466,En Couple,2,false,826 NJ 62
40,M,1348,En Couple,3,false,1791 WG 33
29,M,193,En Couple,0,false,715 BO 44
51,M,557,En Couple,0,true,3484 AH 69
27,M,198,En Couple,4,true,9629 ZS 93
30,M,532,Célibataire,0,false,5620 EV 51
59,F,169,Célibataire,0,false,8548 AJ 17
36,M,760,En Couple,4,false,1891 YV 82
53,M,419,En Couple,1,false,6262 AO 31
69,M,1170,En Couple,1,true,9721 LN 29
38,F,491,En Couple,2,false,8379 YQ 86
27,M,1347,En Couple,3,false,2021 AV 73
69,M,404,En Couple,3,true,699 OU 38
32,M,448,En Couple,2,false,2267 LU 10
47,Masculin,408,Célibataire,0,false,2083 WU 93
19,M,524,Célibataire,0,false,7871 FA 27
74,F,484,En Couple,2,true,4800 WC 72
53,M,1299,Célibataire,0,false,9016 HT 57
20,M,506,En Couple,3,true,6241 OH 14
39,M,1358,En Couple,2,false,637 YM 58
48,M,583,En Couple,4,false,8728 LC 19
39,M,547,En Couple,2,false,7786 DF 35
21,M,512,En Couple,0,false,6745 IT 89
26,M,168,Célibataire,0,false,6828 XD 36
75,M,573,Marié(e),3,false,4794 CW 30
18,M,532,En Couple,2,false,3808 SY 57
67,M,187,En Couple,4,false,5169 SB 91
27,M,1021,En Couple,4,false,1607 XI 11
73,M,177,En Couple,2,false,7816 PZ 80
37,M,519,Seule,2,false,9557 GA 82
35,M,531,En Couple,0,false,8060 IF 62
26,F,1258,En Couple,2,true,8781 ZN 53
37,M,194,En Couple,0,true,7833 QR 67
22,F,734,En Couple,1,false,3942 CR 71
76,M,197,Célibataire,0,false,991 PX 31
27,M,540,En Couple,3,false,8104 PH 26
24,F,561,En Couple,3,false,7008 RJ 62
24,F,560,En Couple,0,false,1823 WV 72
19,F,188,En Couple,2,false,3183 NP 36
43,F,189,En Couple,0,false,9767 ZE 85
84,M,414,Célibataire,0,false,7441 ZX 25
32,F,412,En Couple,0,true,9725 CK 92
23,M,770,En Couple,0,false,4719 JE 92
43,M,563,Célibataire,0,false,8420 UU 59
57,M,167,En Couple,1,false,5458 ZI 65
57,M,401,Célibataire,0,false,1245 MS 32
36,M,885,Célibataire,0,false,3621 ID 64
21,M,494,Seule,1,false,9245 TY 83
19,M,176,En Couple,0,true,1703 IH 38
29,M,539,En Couple,2,false,8330 LX 60
46,M,970,Célibataire,0,false,4165 VK 72
31,M,573,Célibataire,0,false,6734 XS 84
18,F,746,Célibataire,0,false,8099 QN 21
28,F,469,Célibataire,0,false,3378 ZV 24
47,M,1206,Célibataire,0,false,3780 UR 47
29,M,190,Seule,2,false,4964 CC 96
81,M,1049,En Couple,1,false,2829 LK 71
33,M,506,En Couple,2,false,5809 RD 88
25,M,587,Célibataire,0,false,4054 UQ 46
38,M,1026,En Couple,0,false,106 GH 18
26,M,1022,En Couple,0,true,792 GN 90
25,M,158,En Couple,0,true,6371 LH 74
81,F,595,En Couple,1,false,8223 FW 35
38,M,1330,En Couple,3,true,8479 FO 37
42,M,?,Seule,2,false,4296 GY 35
26,M, ,Célibataire,0,false,8869 KY 57
68,M,238,En Couple,1,true,8468 QR 34
48,M,1332,En Couple,2,true,9053 PH 49
30,M,1113,Célibataire,0,false,5027 RJ 56
33,M,813,Célibataire,?,false,8291 EU 42
18,M,519,En Couple,2,false,170 LK 17
19,M,419,Célibataire,0,false,1779 SU 74
44,F,849,En Couple,0,false,333 WK 43
21,M,510,Célibataire,0,false,7674 ON 84
31,M,1087,Célibataire,0,false,36 RY 85
54,Homme,460,En Couple,4,false,6363 FI 47
61,M,465,Célibataire,0,false,1178 NA 62
39,M,1122,Célibataire,0,false,8967 ZF 56
30,M,1298,Célibataire,0,false,7768 EB 21
84,F,224,Célibataire,0,false,8211 DA 42
61,M,498,En Couple,4,false,270 KP 31
25,M,946,Célibataire,0,false,9478 IE 32
56,M,742,En Couple,1,false,2267 KD 63
52,M,421,En Couple,1,false,9495 RI 78
62,M,174,En Couple,1,true,2239 TU 93
23,M,971,En Couple,0,false,7218 DS 96
70,F,1132,En Couple,1,false,7951 TN 33
84,M,461,En Couple,2,false,9924 GF 12
46,M,407,En Couple,1,false,8897 IM 28
37,F,449,En Couple,0,true,3146 VN 37
34,M,187,En Couple,2,false,2395 WP 23
52,M,413,En Couple,0,false,6502 RU 81
18,M,406,Célibataire,0,false,6120 WB 67
21,M,574,Célibataire,0,false,4489 IF 20
41,M,922,Seule,2,false,7250 VB 26
55,M,174,En Couple,4,true,6089 YD 23
72,M,572,En Couple,2,false,4376 LD 76
26,M,565,En Couple,1,false,1820 XW 89
63,M,432,En Couple,0,false,7257 HJ 74
43,M,1176,En Couple,0,false,2955 HU 44
39,M,905,Célibataire,0,false,2071 JM 16
39,M,960,En Couple,2,false,6576 YJ 48
44,M,242,Célibataire,0,false,5605 RS 79
48,F,230,En Couple,2,false,3863 IC 36
52,M,1316,Célibataire,0,false,2169 YM 28
51,M,191,Célibataire,0,false,112 ET 45
55,F,1231,Célibataire,0,false,6026 YN 96
68,M,462,En Couple,0,false,8747 QZ 21
82,M,594,Célibataire,0,false,1074 TF 86
24,M,708,Célibataire,0,false,7162 LA 61
45,M,567,En Couple,3,false,5244 SL 41
55,M,919,Seule,2,false,7426 WR 20
49,F,503,En Couple,0,false,8406 VT 55
34,M,1072,En Couple,1,false,3081 ZH 30
19,F,502,En Couple,0,false,7040 KD 76
81,F,195,En Couple,2,true,4953 OT 22
64,M,510,Célibataire,0,false,4955 MI 92
52,F,466,Célibataire,0,false,1339 YU 79
83,M,1275,En Couple,1,false,9035 SG 50
26,M,588,En Couple,1,false,6237 YK 22
41,F,493,Célibataire,0,false,2789 VP 59
56,M,223,En Couple,1,false,8812 TL 10
55,M,972,En Couple,3,false,6785 TY 77
55,M,574,Célibataire,0,false,570 FM 88
23,M,461,Célibataire,0,false,2168 VZ 83
45,F,524,En Couple,0,false,9992 MN 31
80,F,538,En Couple,4,false,8374 TQ 82
57,M,409,En Couple,2,false,2188 PD 88
52,M,178,En Couple,0,false,9177 KE 14
45,M,442,En Couple,0,false,4652 HR 52
19,M,503,En Couple,1,false,1199 RU 51
27,M,458,En Couple,4,true,2017 ZT 38
44,M,178,En Couple,1,false,2300 CB 11
43,M,541,Célibataire,0,false,517 BG 91
63,M,598,Célibataire,0,false,7841 XQ 21
28,M,469,En Couple,1,false,4084 EK 21
18,M,240,En Couple,3,false,9349 AE 15
82,M,497,En Couple,0,false,6926 YG 11
79,M,1003,En Couple,1,false,6432 VZ 10
57,F,519,En Couple,2,false,4403 OJ 28
24,F,552,En Couple,0,false,4538 OF 25
21,M,548,En Couple,4,false,2997 VL 34
79,M,168,Seule,2,false,336 LC 93
42,F,433,Célibataire,0,false,6681 PE 35
53,F,233,En Couple,4,false,1759 AA 57
58,M,1237,Seule,3,false,8086 ND 56
67,M,546,En Couple,1,false,9222 SZ 73
54,M,1067,En Couple,2,false,4611 DT 51
33,M,577,En Couple,2,false,280 MC 11
50,M,1177,En Couple,2,false,8125 BO 29
40,M,510,En Couple,0,false,743 WB 69
67,M,565,En Couple,2,false,4094 AY 82
78,F,172,En Couple,2,false,7914 LN 91
38,M,1320,Célibataire,0,false,6390 OL 87
40,M,1006,En Couple,4,false,4839 GE 68
41,M,925,En Couple,1,false,1558 HQ 39
24,M,595,En Couple,0,false,1577 UC 91
55,M,248,Célibataire,0,false,6928 RE 49
43,M,478,En Couple,3,false,6426 PI 23
49,M,433,En Couple,2,false,8840 NC 42
82,M,537,En Couple,1,true,5641 CZ 65
19,M,587,Célibataire,0,false,2901 MI 64
31,M,999,Célibataire,0,false,4646 KG 67
27,M,763,Célibataire,0,false,160 NJ 93
24,M,1007,En Couple,4,false,8193 NW 72
35,M,181,En Couple,1,false,7778 BZ 71
48,M,402,En Couple,4,false,2734 AP 24
63,F,719,En Couple,0,true,3354 DY 95
22,M,577,Célibataire,0,false,9042 RD 81
48,M,417,En Couple,3,false,3013 HG 64
54,M,594,En Couple,0,true,6758 PS 94
43,M,521,Célibataire,0,false,6116 QX 23
21,M,472,Seule,3,false,2387 VX 35
24,M,206,Célibataire,0,false,9673 PF 81
20,M,160,Célibataire,0,false,2501 ZR 93
46,M,474,Célibataire,0,false,9849 ZS 30
83,M,761,Célibataire,0,false,1672 YW 92
27,M,536,En Couple,0,false,8826 HJ 77
74,M,1272,En Couple,2,false,797 BB 20
66,M,193,Célibataire,0,false,4278 UX 82
83,M,1242,En Couple,3,false,4069 YT 38
52,M,1311,Célibataire,0,false,5494 ZJ 77
76,M,400,Seule,1,false,9620 WP 82
68,M,568,Célibataire,0,false,9128 LQ 87
48,M,1022,Célibataire,0,false,9247 OZ 98
38,M,217,Célibataire,0,false,3353 SQ 40
49,Masculin,562,En Couple,4,false,1262 EF 53
84,M,1138,En Couple,0,false,1611 XI 15
64,M,1361,En Couple,2,false,1914 SN 75
47,M,539,En Couple,2,false,2624 DB 20
24,M,219,Marié(e),1,false,4031 NT 81
29,M,1046,Célibataire,0,false,3964 FE 53
18,M,150,En Couple,4,true,859 CX 74
51,M,228,En Couple,4,false,966 LM 32
44,M,532,Célibataire,0,false,5821 BL 21
63,F,426,En Couple,0,false,2791 YD 87
56,M,543,En Couple,2,true,7558 RS 97
28,M,447,Célibataire,0,false,1513 VJ 74
82,M,1397,En Couple,1,true,650 WG 92
27,M,1155,En Couple,2,false,9672 ON 34
23,M,1295,En Couple,2,false,7136 YM 44
35,M,504,En Couple,1,true,5220 RC 44
27,F,792,En Couple,3,true,8573 ZR 27
57,M,540,En Couple,3,true,5805 RD 25
64,M,589,En Couple,1,true,7517 FG 65
55,M,1199,Célibataire,0,false,789 GI 93
38,F,190,En Couple,1,false,9722 UT 50
47,M,432,En Couple,0,false,2897 MK 28
80,M,508,En Couple,2,false,7730 PJ 75
27,F,575,Seule,1,false,6568 GY 97
24,M,594,En Couple,4,true,244 GC 23
38,F,985,En Couple,1,true,8433 OB 38
52,M,909,En Couple,3,false,1011 JO 95
18,M,182,Célibataire,0,false,4921 ZK 98
22,F,532,En Couple,1,false,6641 JV 74
24,M,753,Célibataire,0,false,4890 PV 34
29,M,186,Célibataire,0,false,341 KY 70
19,M,243,En Couple,0,false,6373 BB 64
41,M,478,En Couple,0,false,389 UN 33
23,M,1009,En Couple,2,false,9192 UK 57
34,F,1381,Célibataire,0,false,7276 AT 61
70,M,588,En Couple,1,false,8280 PP 40
73,F,906,En Couple,1,false,2261 GI 64
29,F,531,En Couple,1,false,168 KK 74
50,F,446,En Couple,1,false,13 FQ 59
26,M,1094,Célibataire,0,false,2831 GQ 12
77,M,1259,En Couple,2,false,7476 GS 20
38,M,1379,En Couple,0,false,5638 XA 24
23,M,157,En Couple,0,false,1484 DS 42
25,F,473,Célibataire,0,false,8247 FB 66
42,M,402, ,1,false,5368 YW 34
54,M,439,Célibataire,0,false,7087 IV 39
25,M,215,En Couple,2,false,6190 GG 79
51,M,225,Célibataire,0,false,8604 BD 13
54,M,427,Célibataire,0,false,2997 VG 52
-1,M,510,En Couple,1,false,5246 LL 53
52,F,572,En Couple,4,false,1095 QF 19
82,M,590,En Couple,3,false,3770 UH 68
57,M,1324,En Couple,4,false,8351 NP 82
34,M,239,En Couple,1,false,3666 TJ 27
24,F,249,Célibataire,0,false,7468 MU 11
35,F,1248,En Couple,3,false,9277 TM 45
52,M,580,En Couple,2,false,6844 CI 87
56,F,485,Célibataire,0,false,1765 MC 44
39,M,198,En Couple,3,false,8113 VK 84
32,F,418,En Couple,4,false,9316 SQ 26
81,M,170,En Couple,4,false,4223 QC 14
31,M,214,Seule,2,false,2629 FK 42
18,M,870,En Couple,2,true,3163 GP 24
51,M,873,En Couple,2,false,2857 UR 94
50,F,484,En Couple,1,false,9549 PZ 11
83,M,176,En Couple,2,true,2510 GL 25
73,M,562,En Couple,2,false,830 AV 39
41,M,1289,Célibataire,0,false,6985 RB 39
33,M,1343,En Couple,1,true,8586 DJ 19
53,M,509,En Couple,3,false,8173 DG 19
55,M,181,En Couple,4,false,7039 SO 71
38,M,1073,Célibataire,0,false,4545 LY 98
31,M,405,En Couple,2,false,380 YQ 81
19,F,513,En Couple,0,false,6414 XL 62
82,M,941,En Couple,0,false,6882 ET 65
26,M,583,En Couple,0,false,4958 OC 25
63,M,468,En Couple,0,false,4726 UA 62
32,M,408,Célibataire,0,false,3582 IO 64
56,M,216,En Couple,2,false,7036 UY 84
73,M,541,Célibataire,0,false,6076 AC 66
56,M,1097,Seule,1,false,3117 WL 51
28,F,543,Célibataire,0,false,4905 UO 62
41,M,182,Célibataire,0,false,5921 WM 91
50,F,1068,En Couple,2,false,1399 MF 36
72,F,850,En Couple,2,true,117 BQ 72
25,M,179,En Couple,4,true,7051 OM 43
56,M,557,En Couple,2,false,2566 XX 55
50,F,538,En Couple,2,false,3292 XW 91
27,M,458,Célibataire,0,false,9572 WQ 27
69,F,439,Célibataire,0,false,7185 PI 60
39,M,236,Célibataire,0,false,7120 LC 67
22,M,425,En Couple,0,false,3751 RA 32
54,M,1312,Célibataire,0,false,8765 EG 22
20,F,890,Seule,1,false,5657 TA 66
72,M,215,En Couple,1,false,7810 KE 87
52,M,487,Célibataire,0,false,8965 EM 49
48,M,244,En Couple,0,false,6197 XE 26
18,F,1052,?,0,false,1053 WR 32
42,M,1331,En Couple,2,false,3585 QA 73
69,M,561,Célibataire,0,false,2547 NI 72
71,F,567,Célibataire,0,false,1185 JD 18
35,M,424,Célibataire,0,false,5643 GG 12
32,F,476,Célibataire,0,false,4466 UE 98
45,F,516,Seule,2,false,6700 LR 24
83,M,1146,En Couple,2,true,5732 NU 76
79,M,212,En Couple,1,false,5407 HD 88
49,M,553,Célibataire,0,false,9849 ZL 28
27,F,518,Célibataire,0,false,8846 QI 59
47,M,577,En Couple,2,false,2228 DQ 69
18,M,1341,Célibataire,0,false,853 FB 95
18,Féminin,1078,Célibataire,0,false,6731 FX 30
21,M,428,En Couple,3,false,4660 ZQ 15
49,M,541,Célibataire,0,false,6533 AX 96
22,M,240,Célibataire,0,false,3707 XZ 58
22,F,928,En Couple,0,true,8029 SA 37
20,M,154,En Couple,2,false,6188 RN 67
77,M,414,Célibataire,0,false,3724 XZ 15
84,M,185,En Couple,0,true,2077 EB 26
39,F,1076,En Couple,1,false,2210 ZC 59
38,M,528,En Couple,2,true,258 ZA 26
39,F,1185,Seule,1,false,6813 DG 50
32,M,1064,En Couple,0,true,70 FW 56
47,Homme,1044,En Couple,1,false,7055 ZS 23
23,M,234,En Couple,0,false,5235 XE 13
70,M,552,En Couple,2,false,4012 SJ 48
?,M,578,En Couple,2,false,9940 OA 56
52,M,495,En Couple,2,true,5049 RI 65
22,M,561,Célibataire,0,false,3850 MF 77
82,M,158,En Couple,4,false,9390 QF 34
21,F,1223,En Couple,0,false,3604 FQ 80
52,F,1120,Seule,1,false,5172 TL 81
31,M,578,Célibataire,0,false,6564 SF 14
27,M,206,En Couple,2,false,8776 KY 20
23,M,237,Célibataire,0,false,7905 CJ 35
53,M,1089,En Couple,4,false,9477 MV 92
75,M,500,Célibataire,0,false,8799 YN 34
38,M,226,Célibataire,0,false,1357 QA 15
71,M,520,En Couple,3,true,792 KL 15
19,M,208,En Couple,2,false,4561 TH 72
67,M,514,En Couple,2,false,7110 FA 24
47,M,150,Célibataire,0,false,5939 ZH 62
24,M,1258,En Couple,2,false,8678 EU 52
29,M,539,En Couple,0,false,6507 IG 14
20,M,808,Célibataire,0,false,6086 WA 81
18,M,537,En Couple,2,false,9662 QS 35
43,F,226,En Couple,3,false,6118 MN 97
42,M,821,En Couple,1,false,1928 AL 56
29,F,166,En Couple,1,false,5563 IH 96
41,M,497,Célibataire,0,false,2803 XX 51
28,M,1181,En Couple,3,false,1671 KC 59
37,M,486,Célibataire,0,false,9277 NC 97
73,M,584,Célibataire,0,false,2450 ZZ 36
34,M,1158,En Couple,4,false,9846 KH 23
19,M,1158,En Couple,2,false,9923 ZO 57
76,M,511,En Couple,4,false,5823 MU 54
22,F,249,En Couple,2,false,1543 VC 87
61,F,497,Célibataire,0,false,891 NK 23
27,F,1116,En Couple,2,false,3065 YB 26
48,M,474,Célibataire,0,false,6977 JX 53
27,M,516,Célibataire,0,false,4023 IW 98
29,M,1358,Célibataire,0,false,6919 PV 54
75,M,593,En Couple,1,false,9779 ID 29
79,M,568,Célibataire,0,false,7208 RJ 82
44,M,1000,En Couple,2,false,911 RF 69
45,M,428,En Couple,2,false,3039 MZ 35
